({ 349 }, 7)
({ 341 350 }, 15)
({ 375 376 378 }, 12)
({ 321 323 324 327 }, 15)
({ 373 375 376 382 383 }, 13)
({ 373 375 376 380 382 383 }, 12)
({ 341 343 344 347 349 350 351 }, 10)
({ 373 374 375 376 377 378 379 380 }, 8)
({ 334 335 336 337 338 339 340 341 350 }, 10)
({ 334 335 336 338 339 340 341 344 346 350 }, 9)
({ 335 336 337 339 340 341 342 343 344 346 350 }, 11)
({ 334 335 336 337 339 340 341 342 343 344 346 350 }, 12)
({ 335 336 337 338 339 340 341 343 344 345 346 350 351 }, 9)
({ 335 336 337 338 339 340 341 342 343 344 345 346 347 350 }, 10)
({ 334 335 336 337 338 339 340 341 342 343 344 346 347 350 351 }, 9)
({ 334 335 336 337 338 339 340 341 342 343 344 347 348 349 350 351 }, 9)
