({ 349 }, 7)
({ 341 350 }, 15)
({ 375 376 378 }, 12)
({ 375 376 378 381 }, 13)
({ 366 367 370 372 375 }, 16)
({ 334 335 338 340 341 342 }, 13)
({ 373 378 379 380 381 382 383 }, 11)
({ 334 335 336 339 340 341 343 345 }, 16)
({ 335 336 338 339 340 341 342 347 350 }, 11)
({ 335 336 339 340 341 342 347 348 350 351 }, 13)
({ 334 335 336 339 340 341 345 346 347 349 350 }, 12)
({ 334 335 336 337 339 340 341 342 343 344 346 350 }, 12)
({ 334 335 336 339 340 341 342 343 345 346 347 349 350 }, 12)
({ 335 336 337 338 339 340 341 342 343 344 345 346 347 350 }, 10)
({ 334 335 336 337 339 340 341 342 343 344 345 346 347 349 350 }, 8)
({ 334 335 336 337 338 339 340 341 342 343 346 347 348 349 350 351 }, 8)
