({ 317 }, 11)
({ 316 395 }, 14)
({ 427 414 268 }, 20)
({ 277 432 392 285 }, 22)
({ 413 426 397 290 396 }, 22)
({ 406 293 402 429 384 389 }, 15)
({ 430 269 446 432 279 404 427 }, 14)
({ 413 426 397 290 421 387 286 427 }, 17)
({ 277 392 432 285 445 279 393 439 433 }, 17)
({ 293 435 415 393 386 406 294 388 290 392 }, 17)
({ 277 271 403 276 274 401 395 270 417 427 415 }, 13)
({ 293 415 435 393 386 406 405 417 286 397 402 390 }, 19)
({ 293 401 432 391 287 402 392 395 441 301 302 436 291 }, 15)
({ 293 401 432 391 287 402 392 395 441 301 302 436 397 447 }, 14)
({ 413 387 407 389 436 445 282 396 416 403 284 404 426 440 271 }, 14)
({ 427 314 422 319 442 404 307 418 395 434 436 301 423 392 304 315 }, 15)
